meta_event_index,meta_event_id,meta_source_file_id,meta_shift_mode,meta_assigned_shift_ps,meta_discrete_group,target_shift_ps,energy_ch1_max_amplitude_mV,energy_ch1_t10_abs_ps,energy_ch2_max_amplitude_mV,energy_ch2_t10_abs_ps,timing_delta_t7_ps,timing_difference_c22_CO_Embed2_Dist_tau_d_expfit_meandiff,timing_difference_c22_CO_FirstMin_ac,timing_difference_c22_CO_HistogramAMI_even_2_5,timing_difference_c22_CO_f1ecac,timing_difference_c22_CO_trev_1_num,timing_difference_c22_DN_HistogramMode_10,timing_difference_c22_DN_HistogramMode_5,timing_difference_c22_DN_OutlierInclude_n_001_mdrmd,timing_difference_c22_DN_OutlierInclude_p_001_mdrmd,timing_difference_c22_FC_LocalSimple_mean1_tauresrat,timing_difference_c22_FC_LocalSimple_mean3_stderr,timing_difference_c22_IN_AutoMutualInfoStats_40_gaussian_fmmi,timing_difference_c22_MD_hrv_classic_pnn40,timing_difference_c22_PD_PeriodicityWang_th0_01,timing_difference_c22_SB_BinaryStats_diff_longstretch0,timing_difference_c22_SB_BinaryStats_mean_longstretch1,timing_difference_c22_SB_MotifThree_quantile_hh,timing_difference_c22_SB_TransitionMatrix_3ac_sumdiagcov,timing_difference_c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,timing_difference_c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,timing_difference_c22_SP_Summaries_welch_rect_area_5_1,timing_difference_c22_SP_Summaries_welch_rect_centroid
83,83,83;83;83;83,continuous,48,-1,48.0,230.37727848208107,-23982.327424061394,208.07239594680678,-23789.850853364074,101.73449934796253,0.7187160705252056,33.0,0.1366551892784593,10.695548718468542,-0.00584656378051067,-0.41288948272876347,0.11353709605281459,0.5034965034965035,-0.13086913086913088,0.28,0.2690752273429329,24.0,0.298,244.0,34.0,120.0,1.3522512455439142,0.002499999999999999,0.2916666666666667,0.4166666666666667,0.9989586475810613,0.08590292412160157
84,84,84;84;84;84,continuous,111,-1,111.0,221.78659814610498,-24260.15301274705,215.48328683730475,-24207.67663341594,182.4572267441411,0.73463379555924,33.0,0.11659552626570954,10.790016661125739,-0.0052962542416470455,0.47122278497421455,-0.06090345808161146,0.47552447552447563,-0.11288711288711284,0.3076923076923077,0.26205272559881093,25.0,0.102,166.0,28.0,232.0,1.3490420969046935,0.0011542012927054477,0.125,0.22916666666666666,0.9989032445437905,0.08590292412160157
91,91,91;91;91;91,continuous,-36,-1,-36.0,244.61583677841378,-23900.373810199642,210.60208936788766,-23745.94654119425,37.247617470111294,0.7610269277350201,34.0,0.3794670555754449,11.137200966536769,-0.004549463517690396,0.04398153545036054,0.5247471172989937,0.5144855144855145,-0.1368631368631369,0.25,0.2744903052595434,26.0,0.521,89.0,31.0,138.0,1.345352087127802,0.003537414965986394,0.4583333333333333,0.4791666666666667,0.998866217355632,0.07363107781851563
95,95,95;95;95;95,continuous,86,-1,86.0,247.12651168786513,-23680.562287602825,199.32611161699666,-23538.619373037895,101.57297973969293,0.6983560852550612,32.0,0.13725877295127212,10.204493716402133,-0.006259753060680031,-0.31171013841183726,0.23262649550939773,0.5364635364635364,0.003996003996004083,0.28,0.27678601503466727,24.0,0.274,186.0,36.0,148.0,1.3541489661600956,0.002499999999999999,0.4166666666666667,0.22916666666666666,0.9989604450996038,0.08590292412160157
97,97,97;97;97;97,continuous,3,-1,3.0,227.7014517126196,-24375.757837570436,198.33305611209585,-24222.830006700195,72.6617622679484,0.7111199387073555,34.0,0.16765098655238186,10.848543816215752,-0.005970009403118454,-0.21534407372401443,0.30395894794019895,0.4605394605394606,-0.08291708291708288,0.2692307692307692,0.26771640940477565,24.0,0.357,80.0,42.0,132.0,1.359925605689397,0.004616805170821791,0.375,0.4583333333333333,0.9979502597896336,0.0797670009700586
98,98,98;98;98;98,continuous,-86,-1,-86.0,232.74518373704254,-24904.011613766033,224.44757122382669,-24676.017263875478,-17.784630782937683,0.8988165969339208,32.0,0.5336794338541462,11.829437683881423,0.0019646641170563742,-0.42429097625861123,-0.8463095458308452,-0.13436563436563437,0.41358641358641357,0.23333333333333334,0.2607468799912374,29.0,0.65,40.0,34.0,88.0,1.3709466872816747,0.006121824303642486,0.375,0.375,0.998435806560093,0.06749515466697266
100,100,100;100;100;100,continuous,-57,-1,-57.0,250.86199352822425,-24224.942551998993,227.30223864477097,-23997.07548397507,9.214484198921014,2.002451593680841,34.0,0.8516689909677735,20.640950650250662,-0.0002013800448403796,-0.29959802265621827,-0.03291184635343769,0.18731268731268735,-0.13886113886113882,0.14893617021276595,0.21548748127215672,33.0,0.731,79.0,29.0,88.0,1.3469226695941148,0.006802721088435373,0.375,0.3958333333333333,0.9987279741116978,0.06749515466697266
101,101,101;101;101;101,continuous,41,-1,41.0,224.9257923703231,-24692.563111304513,217.45732846424767,-24708.901846383087,144.8058894077029,0.6761375820924596,32.0,0.13953185733394155,10.154524200535826,-0.00717426389197293,-0.1291861923584765,0.4292993110051455,0.4295704295704297,-0.2127872127872128,0.3076923076923077,0.2749448967360562,24.0,0.123,160.0,33.0,173.0,1.3553377725469928,0.009464450600184672,0.3541666666666667,0.4166666666666667,0.998808859143871,0.08590292412160157
104,104,104;104;104;104,continuous,-10,-1,-10.0,238.1161921319619,-24371.593051362834,213.31086256479202,-24204.46442676247,67.07224318034832,0.8288945325214147,15.0,0.342811719396243,11.631383645768404,-0.003306439640063766,0.06941088002355134,0.5712189803803032,0.46153846153846145,-0.6873126873126874,0.2413793103448276,0.28063308751653376,14.0,0.658,80.0,16.0,74.0,1.4636460542160483,0.02104959630911188,0.375,0.20833333333333334,0.9988252657128902,0.06749515466697266
110,110,110;110;110;110,continuous,-64,-1,-64.0,232.76602803270924,-24472.372042043946,198.56518537366208,-24209.023700364087,5.734056798598175,2.352253629143678,87.0,0.885763174557162,24.934283063140636,0.0003169228874738051,-0.5659664284647085,-0.8211004850379979,0.4225774225774226,-0.4155844155844156,0.1111111111111111,0.1906426553139947,40.0,0.67,136.0,38.0,97.0,1.3289809975230187,0.029629629629629627,0.4375,0.2916666666666667,0.9963944458261971,0.03681553890925782
